DATE,FILE,REVISION,FCOVER
20-11-2023,C:\Users\sophi\Desktop\MACS2\Analyse_de_donnee\satellite\data/zones/_Earth/FCOVER/c_gls_FCOVER300-RT6_202311200000_GLOBE_OLCI_V1.1.2.nc,6,0.20554336896850625
30-11-2023,C:\Users\sophi\Desktop\MACS2\Analyse_de_donnee\satellite\data/zones/_Earth/FCOVER/c_gls_FCOVER300-RT6_202311300000_GLOBE_OLCI_V1.1.2.nc,6,0.18542706307307585
10-12-2023,C:\Users\sophi\Desktop\MACS2\Analyse_de_donnee\satellite\data/zones/_Earth/FCOVER/c_gls_FCOVER300-RT6_202312100000_GLOBE_OLCI_V1.1.2.nc,6,0.24267300832342453
31-12-2023,C:\Users\sophi\Desktop\MACS2\Analyse_de_donnee\satellite\data/zones/_Earth/FCOVER/c_gls_FCOVER300-RT2_202312310000_GLOBE_OLCI_V1.1.2.nc,2,0.1860953858084529
10-01-2024,C:\Users\sophi\Desktop\MACS2\Analyse_de_donnee\satellite\data/zones/_Earth/FCOVER/c_gls_FCOVER300-RT2_202401100000_GLOBE_OLCI_V1.1.2.nc,2,0.14178256189451022
20-01-2024,C:\Users\sophi\Desktop\MACS2\Analyse_de_donnee\satellite\data/zones/_Earth/FCOVER/c_gls_FCOVER300-RT0_202401200000_GLOBE_OLCI_V1.1.2.nc,0,0.12142735104611599
